## Q2 gA dgA gP dgP g5 dg5
0.000 1.283 0.022 237.0  4.0  313.4   5.4
0.057 1.178 0.015  54.17 0.69  72.40  0.92
0.113 1.096 0.013  29.18 0.33  39.06  0.45
0.167 1.027 0.013  19.40 0.24  25.99  0.32
0.220 0.951 0.015  14.01 0.22  18.77  0.29
0.271 0.902 0.015  10.93 0.18  14.65  0.24
0.321 0.846 0.018   8.75 0.18  11.73  0.25
0.418 0.758 0.022   6.11 0.18  8.19   0.24
0.464 0.725 0.023   5.28 0.16  7.08   0.22
0.510 0.696 0.023   4.63 0.15  6.21   0.20
0.555 0.653 0.025   4.00 0.16  5.37   0.21
0.599 0.628 0.032   3.58 0.18  4.80   0.24
0.642 0.619 0.028   3.30 0.15  4.42   0.20
0.684 0.591 0.028   2.96 0.14  3.96   0.19
0.767 0.494 0.045   2.21 0.20  2.97   0.27
0.807 0.526 0.031   2.24 0.13  3.00   0.18
0.847 0.528 0.034   2.15 0.14  2.88   0.19
0.886 0.477 0.045   1.86 0.17  2.49   0.23
0.925 0.463 0.038   1.73 0.14  2.31   0.19
0.963 0.435 0.041   1.56 0.15  2.09   0.20
1.000 0.352 0.063   1.21 0.22  1.63   0.29
