# zexp4+3 parametrization see table 4: !z^{4+3}
# Q^2[GeV^2]	G_A	StatisticalError	FullError
0.0	1.301837	0.045220	0.086002
0.004	1.291948	0.044211	0.083536
0.008	1.282353	0.043248	0.081147
0.012	1.273033	0.042327	0.078833
0.016	1.263968	0.041446	0.076592
0.02	1.255139	0.040603	0.074420
0.024	1.246531	0.039795	0.072317
0.028	1.238130	0.039020	0.070280
0.032	1.229923	0.038277	0.068307
0.036	1.221897	0.037564	0.066396
0.04	1.214042	0.036879	0.064547
0.044	1.206347	0.036220	0.062757
0.048	1.198805	0.035587	0.061024
0.052	1.191405	0.034977	0.059347
0.056	1.184142	0.034390	0.057725
0.06	1.177007	0.033824	0.056157
0.064	1.169995	0.033279	0.054640
0.068	1.163099	0.032753	0.053174
0.072	1.156315	0.032245	0.051758
0.076	1.149636	0.031755	0.050390
0.08	1.143058	0.031281	0.049069
0.084	1.136578	0.030824	0.047795
0.088	1.130191	0.030381	0.046566
0.092	1.123892	0.029953	0.045381
0.096	1.117680	0.029539	0.044239
0.1	1.111550	0.029138	0.043140
0.12	1.082042	0.027310	0.038250
0.14	1.054222	0.025735	0.034298
0.16	1.027862	0.024366	0.031192
0.18	1.002791	0.023165	0.028842
0.2	0.978874	0.022104	0.027152
0.22	0.956006	0.021159	0.026022
0.24	0.934100	0.020311	0.025348
0.26	0.913083	0.019547	0.025031
0.28	0.892892	0.018853	0.024980
0.3	0.873473	0.018220	0.025119
0.32	0.854780	0.017639	0.025385
0.34	0.836769	0.017105	0.025731
0.36	0.819402	0.016609	0.026122
0.38	0.802645	0.016149	0.026531
0.4	0.786466	0.015720	0.026941
0.42	0.770836	0.015319	0.027338
0.44	0.755727	0.014942	0.027715
0.46	0.741114	0.014587	0.028065
0.48	0.726974	0.014252	0.028387
0.5	0.713286	0.013934	0.028678
0.52	0.700028	0.013633	0.028939
0.54	0.687181	0.013347	0.029168
0.56	0.674728	0.013074	0.029368
0.58	0.662652	0.012813	0.029539
0.6	0.650935	0.012564	0.029683
0.62	0.639564	0.012325	0.029800
0.64	0.628524	0.012096	0.029894
0.66	0.617801	0.011876	0.029965
0.68	0.607382	0.011665	0.030014
0.7	0.597256	0.011461	0.030044
0.72	0.587411	0.011265	0.030056
0.74	0.577836	0.011075	0.030051
0.76	0.568520	0.010892	0.030030
0.78	0.559454	0.010715	0.029994
0.8	0.550628	0.010543	0.029945
0.82	0.542034	0.010377	0.029884
0.84	0.533662	0.010216	0.029812
0.86	0.525505	0.010060	0.029730
0.88	0.517555	0.009909	0.029638
0.9	0.509805	0.009762	0.029537
0.92	0.502247	0.009619	0.029428
0.94	0.494875	0.009480	0.029313
0.96	0.487683	0.009344	0.029190
0.98	0.480664	0.009213	0.029062
1.0	0.473812	0.009084	0.028929
